"PRODUCT NUMBER MANIFEST",,,"(Unofficial version, 10 August 2006)",,,,,,,,,
,,,,,,,,,,,,
"Product No.","Product Name",,,"Legacy Code",,,,,,,,
30003,"ASIA PRESS",,,"S=X10003",,"<topic human="""" code=""S=X10003"" num=""30003"" />",,,,,,
30004,"AUSSIE",,,"S=XAUGEN",,"<topic human="""" code=""S=XAUGEN"" num=""30004"" />",,,,,,
30005,"BANK OF ENGLAND",,,"S=X10005",,"<topic human="""" code=""S=X10005"" num=""30005"" />",,,,,,
30006,"BELGIUM",,,"S=X10006",,"<topic human="""" code=""S=X10006"" num=""30006"" />",,,,,,
30007,"BOBL",,,"S=X10007",,"<topic human="""" code=""S=X10007"" num=""30007"" />",,,,,,
30008,"BOE",,,"S=X10008",,"<topic human="""" code=""S=X10008"" num=""30008"" />",,,,,,
30009,"BOP DATA",,,"S=X10009",,"<topic human="""" code=""S=X10009"" num=""30009"" />",,,,,,
30010,"BUNDS",,,"S=X10010",,"<topic human="""" code=""S=X10010"" num=""30010"" />",,,,,,
30011,"CABLE",,,"S=X10011",,"<topic human="""" code=""S=X10011"" num=""30011"" />",,,,,,
30012,"CABLE TECHS",,,"S=X10012",,"<topic human="""" code=""S=X10012"" num=""30012"" />",,,,,,
30013,"CHINA",,,"S=X10013",,"<topic human="""" code=""S=X10013"" num=""30013"" />",,,,,,
30014,"COMMODITIES",,,"S=X10014",,"<topic human="""" code=""S=X10014"" num=""30014"" />",,,,,,
30015,"CORP SUPPLY",,,"S=X10015",,"<topic human="""" code=""S=X10015"" num=""30015"" />",,,,,,
30016,"CORPORATE HEADLINES",,,"S=X10016",,"<topic human="""" code=""S=X10016"" num=""30016"" />",,,,,,
30017,"CORPORATE SUPPLY",,,"S=X10017",,"<topic human="""" code=""S=X10017"" num=""30017"" />",,,,,,
30018,"CREDIT",,,"S=X10018",,"<topic human="""" code=""S=X10018"" num=""30018"" />",,,,,,
30019,"CREDIT SUPPLY",,,"S=X10019",,"<topic human="""" code=""S=X10019"" num=""30019"" />",,,,,,
30020,"CREDITS",,,"S=X10020",,"<topic human="""" code=""S=X10020"" num=""30020"" />",,,,,,
30021,"DATA REACT",,,"S=X10021",,"<topic human="""" code=""S=X10021"" num=""30021"" />",,,,,,
30022,"DENMARK",,,"S=X10022",,"<topic human="""" code=""S=X10022"" num=""30022"" />",,,,,,
30023,"DLR",,,"S=X10023",,"<topic human="""" code=""S=X10023"" num=""30023"" />",,,,,,
30024,"DOLLAR",,,"S=X10024",,"<topic human="""" code=""S=X10024"" num=""30024"" />",,,,,,
30025,"DOLLAR-CANADA",,,"S=X10025",,"<topic human="""" code=""S=X10025"" num=""30025"" />",,,,,,
30026,"DOLLAR-SWISS",,,"S=X10026",,"<topic human="""" code=""S=X10026"" num=""30026"" />",,,,,,
30027,"DOLLAR-SWISS TECHS",,,"S=X10027",,"<topic human="""" code=""S=X10027"" num=""30027"" />",,,,,,
30028,"DOLLAR-YEN",,,"S=XJPUSC",,"<topic human="""" code=""S=XJPUSC"" num=""30028"" />",,,,,,
30029,"DOLLAR-YEN TECHS",,,"S=X10029",,"<topic human="""" code=""S=X10029"" num=""30029"" />",,,,,,
30030,"ECB",,,"S=X10030",,"<topic human="""" code=""S=X10030"" num=""30030"" />",,,,,,
30031,"EMU",,,"S=X10031",,"<topic human="""" code=""S=X10031"" num=""30031"" />",,,,,,
30032,"EMU BONDS",,,"S=X10032",,"<topic human="""" code=""S=X10032"" num=""30032"" />",,,,,,
30033,"EMU DATA",,,"S=X10033",,"<topic human="""" code=""S=X10033"" num=""30033"" />",,,,,,
